Stakeholder type;Workplace setting;Data storage;Interpretation of results;Tissue quality;QFeasibility_Small;QFeasibility_Broad;QTestingPathwaySmall _Aanvrag_Low;QTestingPathwaySmall _Aanvrag_Likely;QTestingPathwaySmall _Aanvrag_Highest;QTestingPathwaySmall _Binen_Low;QTestingPathwaySmall _Binnenkomst_Likely;QTestingPathwaySmall _Binnenkomst_Highest;QTestingPathwayBroad _Aanvrag_Low;QTestingPathwayBroad_Aanvrag_Likely;QTestingPathwayBroad_Aanvrag_Highest;QTestingPathwayBroad_Binen_Low;QTestingPathwayBroad _Binnenkomst_Likely;QTestingPathwayBroad _Binnenkomst_Highest;Number of biopsy procedures;Completeness of results;QTestingPathwaySmall;QTestingPathwayBroad;Treatment options;Germline alterations;Biomarkers for informing diagnosis;Pharmacogenomic profiles;Biomarkers for non-response or prognosis;QImplicationsSmall;QImplicationsBroad;Test Uniformity;Future-proofing;QOrganizationSmall;QOrganizationBroad;Infrastructure for learning care system;Learning care system;QScientificSmall;QScientificBroad;QMCDA1_Clinical;QMCDA1_Cost;QMCDA1_Feasibility;QMCDA1_Test;QMCDA1_Implications;QMCDA1_Organization;QMCDA1_Scientific;QMCDA2_Feasibility;QMCDA2_Test;QMCDA2_Implications;QMCDA2_Organization;QMCDA2_Scientific
Pulmonologist;Academic Center;Agree;Agree;Agree;10;100;3;8;12;2;5;10;3;8;12;2;5;10;Somewhat agree;Agree;100;100;Agree;Agree;Agree;Agree;Agree;10;100;Agree;Agree;10;100;Agree;Agree;1;75;40;10;30;2;10;3;5;10;5;65;10;10
Pulmonologist;Academic Center;Agree;Agree;Agree;100;100;;10;;;5;;;12;;;7;;Somewhat agree;Somewhat agree;;;Agree;Dont know;Agree;Dont know;Agree;0;100;Agree;Agree;;;Disagree;Dont know;0;100;100;0;0;0;0;0;0;0;0;100;0;0
Pulmonologist;General Center;Dont know;Agree;Agree;100;100;8;10;15;8;10;15;8;10;15;10;12;15;Somewhat agree;Agree;95;;Agree;Agree;Agree;Agree;Agree;39;100;Somewhat agree;Agree;90;;Somewhat agree;Somewhat agree;;;30;20;15;15;10;5;5;15;20;40;15;10
Pulmonologist;General Center;Dont know;Agree;Somewhat agree;90;0;6;10;14;5;9;13;nvt;nvt;nvt;nvt;nvt;nvt;Disagree;Agree;90;0;Agree;Agree;Agree;Disagree;Agree;;;Agree;Agree;;;Dont know;Dont know;;;40;20;20;0;20;0;0;25;25;50;0;0
Pulmonologist;Academic Center;Dont know;Agree;Agree;89;95;5;6;8;2;3;4;8;11;14;6;7;8;Agree;Somewhat agree;;92;Agree;Somewhat agree;Agree;Somewhat agree;Somewhat agree;2;90;Somewhat agree;Agree;1;91;Somewhat agree;Somewhat agree;1;82;60;10;20;0;0;0;10;10;0;30;40;20
Pulmonologist;General Center;Agree;Agree;Somewhat agree;81;82;2;3;5;2;3;5;7;10;40;7;10;40;Neither agree nor disagree;Agree;81;81;Agree;Somewhat agree;Agree;Neither agree nor disagree;Agree;;;Agree;Agree;;;Somewhat agree;Somewhat agree;;;80;0;0;0;20;0;0;100;0;0;0;0
Pulmonologist;General Center;Agree;Agree;Agree;95;94;1;2;3;0;1;2;5;8;10;4;7;9;Agree;Agree;81;85;Agree;Somewhat agree;Agree;Agree;Agree;72;91;Agree;Agree;83;90;Agree;Agree;98;94;30;20;20;10;10;5;5;50;20;10;10;10
Pulmonologist;General Center;Dont know;Agree;Agree;100;100;5;7;10;2;5;7;5;10;14;3;8;12;Agree;Agree;71;89;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Agree;71;90;Somewhat agree;Somewhat agree;81;82;Agree;Agree;71;85;30;10;10;10;30;5;5;30;10;40;10;10
Pulmonologist;General Center;Dont know;Agree;Somewhat disagree;93;53;4;8;10;4;8;10;6;10;14;;;;Disagree;Neither agree nor disagree;82;;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Disagree;;;Neither agree nor disagree;Neither agree nor disagree;;;Somewhat disagree;Somewhat agree;;;60;20;3;11;2;2;2;10;80;5;1;4
Pulmonologist;Academic Center;Agree;Agree;Agree;0;85;;;;;;;;;;10;12;15;Agree;Agree;;100;Agree;Disagree;Agree;Agree;Agree;0;100;Agree;Agree;0;100;Somewhat agree;Somewhat agree;20;100;25;5;10;20;10;25;5;5;0;15;80;0
Pulmonologist;General Center;Agree;Agree;Agree;100;0;7;10;15;;;;;;;;;;Disagree;Somewhat agree;75;;Somewhat agree;Somewhat agree;Somewhat agree;Agree;Agree;60;90;Dont know;Somewhat agree;;;Dont know;Neither agree nor disagree;;;30;30;10;10;10;5;5;30;30;20;10;10
Pulmonologist;General Center;Dont know;Agree;Somewhat agree;100;86;5;6;10;5;6;8;7;10;17;5;8;15;Somewhat agree;Somewhat agree;71;79;Agree;Disagree;Somewhat agree;Somewhat agree;Agree;39;93;Dont know;Somewhat agree;;;Somewhat agree;Agree;29;87;55;15;10;5;5;5;5;50;20;10;10;10
CMBP;Academic Center;Somewhat disagree;Agree;Agree;95;67;5;6;8;4;5;7;;;;;;;Disagree;Somewhat disagree;95;;Disagree;NA;Disagree;Somewhat disagree;Somewhat disagree;90;;Disagree;Disagree;88;;Disagree;Disagree;;;40;40;10;0;0;0;10;0;0;0;50;50
CMBP;Academic Center;Agree;Agree;Agree;95;90;3;3;4;4;5;7;7;9;11;8;11;13;Disagree;Neither agree nor disagree;;;Agree;Neither agree nor disagree;Agree;Agree;Somewhat agree;;;Somewhat agree;Agree;90;90;Agree;Agree;60;80;20;12.5;10;20;12.5;12.5;12.5;20;30;30;15;5
CMBP;Academic Center;Agree;Agree;Agree;100;100;;;;5;6;10;;;;5;9;12;Somewhat agree;Agree;50;100;Agree;Agree;Agree;Neither agree nor disagree;Agree;50;100;Somewhat agree;Agree;61;82;Disagree;Agree;20;82;10;10;10;20;15;15;20;20;20;20;20;20
CMBP;Academic Center;Agree;Agree;Somewhat agree;95;80;5;7;9;5;7;10;8;10;11;8;10;13;Agree;Agree;85;100;Agree;Disagree;Agree;Agree;Agree;85;100;Agree;Agree;75;100;Neither agree nor disagree;Agree;50;100;20;5;10;15;15;20;15;15;15;25;30;15
CMBP;General Center;NA;Disagree;Somewhat disagree;100;49;3;4;5;;;;8;10;12;;;;Disagree;Disagree;81;39;Somewhat disagree;Disagree;Disagree;Somewhat disagree;Neither agree nor disagree;45;70;Disagree;Somewhat agree;71;70;Disagree;Somewhat agree;50;71;20;20;10;15;10;10;15;25;35;10;15;15
CMBP;Academic Center;Agree;Agree;Somewhat agree;90;90;5;7;10;5;7;10;7;10;14;7;10;14;Somewhat disagree;Agree;;;Agree;Agree;Agree;Agree;Agree;70;100;Agree;Agree;70;80;Somewhat agree;Agree;70;90;35;30;10;5;10;5;5;40;10;20;20;10
Pathologist;General Center;NA;Agree;Agree;92;72;1;3;5;3;5;14;7;14;20;11;16;20;Somewhat disagree;Somewhat agree;50;50;Agree;Somewhat disagree;Somewhat agree;Somewhat agree;Agree;50;50;Somewhat disagree;Disagree;100;100;Somewhat agree;Agree;16;91;20;70;5;2;1;1;1;10;70;10;5;5
Pathologist;Academic Center;Agree;Agree;Agree;97;90;9;13;14;11;15;16;5;7;12;6;8;13;Agree;Agree;61;95;Agree;Agree;Agree;Neither agree nor disagree;Agree;40;95;Agree;Agree;50;90;Disagree;Agree;51;97;50;10;0;20;20;0;0;20;30;20;20;10
Pathologist;General Center;Agree;Agree;Agree;100;85;5;7;10;5;7;10;6;7;14;6;7;14;Agree;Agree;;;Agree;Agree;Agree;Agree;Agree;;;Agree;Agree;;;Disagree;Agree;;;40;0;0;10;30;10;10;0;10;60;20;10
CMBP;General Center;Agree;Agree;Agree;95;75;;;;3;6;12;;;;6;8;12;Somewhat disagree;Agree;95;75;Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;70;86;Somewhat agree;Somewhat agree;46;88;Somewhat disagree;Somewhat agree;50;95;20;10;40;10;10;0;10;60;10;10;10;10
CMBP;Academic Center;Agree;Agree;Agree;95;95;3;5;7;;;;4;7;10;;;;Neither agree nor disagree;Agree;90;90;Agree;Disagree;Somewhat agree;Somewhat agree;Agree;40;80;Agree;Agree;40;90;Somewhat disagree;Agree;40;90;20;10;15;15;10;20;10;20;20;15;30;15
Pathologist;Academic Center;Agree;Agree;Somewhat disagree;90;60;2;3;5;3;4;6;5;7;10;6;8;11;Disagree;Agree;50;100;Agree;Agree;Agree;Agree;Agree;10;100;Somewhat agree;Agree;50;80;Disagree;Agree;20;90;40;5;10;10;20;5;10;20;10;50;10;10
CMBP;General Center;Agree;Agree;Agree;100;100;3;4;6;4;5;7;4;5;6;5;6;7;Agree;Agree;80;100;Agree;Neither agree nor disagree;Agree;Agree;Agree;60;100;Agree;Agree;60;100;Disagree;Agree;50;100;20;20;10;10;20;10;10;30;20;30;10;10
CMBP;Academic Center;Agree;Agree;Agree;100;100;5;6;7;5;6;7;7;9;11;7;9;11;Dont know;Agree;90;90;Agree;Somewhat disagree;Somewhat agree;NA;Agree;80;100;Agree;Agree;50;95;Disagree;Agree;30;100;15;15;0;10;30;20;10;0;20;35;30;15
CMBP;Academic Center;Agree;Agree;Agree;100;75;;;;5;8;10;;;;8;10;12;Disagree;Neither agree nor disagree;100;70;Disagree;Disagree;Disagree;Somewhat disagree;Disagree;80;95;Disagree;Disagree;100;90;Disagree;Neither agree nor disagree;50;70;40;0;0;55;0;0;5;0;100;0;0;0
CMBP;Academic Center;Agree;Agree;Agree;100;95;3;5;10;4;6;12;7;11;13;8;12;14;Somewhat disagree;Agree;75;95;Agree;Disagree;Agree;Somewhat agree;Somewhat agree;10;95;Agree;Agree;40;95;Agree;Somewhat agree;10;95;30;5;30;5;5;20;5;30;5;20;40;5
CMBP;Academic Center,General Center;Agree;Agree;NA;100;100;;;;;;;;;;8;9;10;NA;Agree;;100;NA;NA;NA;NA;NA;;100;Agree;Agree;;100;Somewhat agree;Agree;;100;25;15;15;5;15;15;10;30;5;20;25;20
Pathologist;General Center;Dont know;Agree;Somewhat agree;;;;;;;;;7;12;20;10;15;23;Somewhat disagree;Agree;;;Agree;Somewhat agree;Agree;Neither agree nor disagree;Agree;;;Disagree;Agree;;;Dont know;Neither agree nor disagree;;;40;20;20;0;0;20;0;50;0;0;50;0
CMBP;Academic Center;Agree;Agree;Somewhat disagree;95;80;5;8;10;6;9;11;7;10;12;8;12;14;Neither agree nor disagree;Agree;90;;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Dont know;Neither agree nor disagree;70;90;Agree;Agree;70;95;Disagree;Neither agree nor disagree;80;95;55;20;10;5;5;5;0;0;10;60;20;10
Pathologist;General Center;NA;Agree;Disagree;96;;3;6;15;3;6;15;10;15;25;10;15;25;Disagree;Disagree;81;18;Disagree;Disagree;Disagree;Dont know;Disagree;81;17;Disagree;Dont know;;;Disagree;Dont know;;;0;100;0;0;0;0;0;40;60;0;0;0
Pulmonologist;General Center;NA;Agree;Neither agree nor disagree;90;70;2;7;14;2;6;13;7;14;21;7;10;18;Neither agree nor disagree;Somewhat agree;80;90;Agree;Disagree;Neither agree nor disagree;Somewhat agree;Agree;30;90;Dont know;Agree;30;80;Disagree;Agree;30;80;50;15;0;15;10;0;10;10;40;30;10;10
Pathologist;Academic Center;Dont know;Agree;Agree;81;80;5;8;10;5;8;10;7;10;15;7;10;15;Agree;Somewhat agree;70;70;Agree;Somewhat agree;Somewhat agree;Dont know;Agree;60;80;Agree;Agree;;;Somewhat disagree;Somewhat agree;;;35;10;5;5;25;5;15;30;0;30;20;20
CMBP;Academic Center;Agree;Agree;Agree;90;100;3;5;6;4;6;8;4;6;8;5;7;10;Somewhat agree;Agree;80;90;Somewhat agree;Disagree;Somewhat agree;Dont know;Agree;51;90;Agree;Agree;30;100;Somewhat disagree;Agree;40;100;25;15;20;20;10;0;10;40;40;10;0;10
Patient representative;Not Applicable;NA;Agree;NA;;;;;;;;;;;;;;;NA;Agree;;;Agree;Disagree;Agree;Agree;Agree;20;90;Agree;Agree;17;84;Somewhat agree;Agree;21;92;50;0;0;0;50;0;0;0;70;30;0;0
Patient representative;Not Applicable;NA;NA;NA;;;;;;;;;;;;;;;Agree;Agree;;;Agree;Agree;Agree;Agree;Agree;;;Agree;Agree;;;Agree;Agree;;;30;0;0;20;30;0;20;0;50;30;0;20
Patient representative;Not Applicable;NA;NA;NA;;;;;;;;;;;;;;;Agree;Agree;;;Agree;Neither agree nor disagree;Agree;Somewhat agree;Agree;;;Agree;Agree;;;Somewhat agree;Neither agree nor disagree;;;0;0;30;10;20;20;20;40;10;20;30;0
CMBP;General Center;Agree;Agree;Agree;100;75;;;;5;8;10;;;;8;10;12;Disagree;Neither agree nor disagree;100;70;Disagree;Disagree;Disagree;Somewhat disagree;Disagree;80;95;Disagree;Disagree;100;90;Disagree;Neither agree nor disagree;50;70;40;0;0;55;0;0;5;0;100;0;0;0
CMBP;General Center;Agree;Agree;NA;100;100;;;;;;;;;;8;9;10;NA;Agree;;100;NA;NA;NA;NA;NA;;100;Agree;Agree;;100;Somewhat agree;Agree;;100;25;15;15;5;15;15;10;30;5;20;25;20
